QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.2 0.1 0.1592948717948718 0.3333333333333333
2 0.4 0.15 0.8333333333333334 1.0
3 0.0 0.0 0.04684477756286267 0.03125
4 0.2 0.1 0.30952380952380953 0.3333333333333333
5 0.2 0.15 0.27271692084821986 1.0
6 0.2 0.1 0.4337231968810917 1.0
7 0.8 0.4 0.7070512820512821 1.0
8 0.4 0.1 0.75 1.0
9 0.2 0.2 0.2417572463768116 0.25
10 0.8 0.55 0.5939615185049593 1.0
11 0.6 0.3 0.4920243840783571 1.0
12 0.4 0.2 0.5 1.0
13 0.6 0.2 0.5464413722478239 1.0
14 0.4 0.2 0.29925000406608904 1.0
15 0.0 0.15 0.12923671566528708 0.125
16 0.2 0.2 0.26034251553844445 1.0
17 0.4 0.2 0.36541362555855306 1.0
18 0.0 0.15 0.12363341782446775 0.14285714285714285
19 0.8 0.35 0.7588474025974025 1.0
20 0.6 0.15 0.9166666666666666 1.0
21 0.2 0.2 0.1970693781160439 0.3333333333333333
22 0.6 0.5 0.5212794612794612 0.5
23 0.6 0.15 0.7653846153846153 1.0
24 0.4 0.1 0.41370084619213543 1.0
25 1.0 0.35 0.5028454719336182 1.0
26 0.4 0.3 0.33479118833716 0.3333333333333333
27 0.6 0.35 0.3797894594876659 1.0
28 0.6 0.2 0.8928571428571428 1.0
29 0.6 0.5 0.5282855548843921 0.3333333333333333
30 0.2 0.05 0.15948275862068967 0.25
31 0.2 0.1 0.18382352941176472 0.25
32 0.2 0.1 0.6428571428571428 1.0
33 0.0 0.05 0.05555555555555555 0.05555555555555555
36 0.4 0.5 0.44243143998510037 0.25
37 0.4 0.15 0.36402079583341057 1.0
38 0.2 0.05 0.13317188138677108 0.3333333333333333
39 0.4 0.2 0.2980345949293396 1.0
40 0.4 0.15 0.30640819680945564 0.5
42 0.0 0.15 0.14856723886135653 0.16666666666666666
43 0.2 0.3 0.3253419221766142 1.0
44 0.4 0.15 0.4123292727943892 1.0
45 0.8 0.3 0.40205857281487545 1.0
48 0.2 0.1 0.17224367224367224 0.3333333333333333
49 0.2 0.1 0.21393762183235868 0.5
57 0.2 0.05 1.0 1.0
58 0.4 0.3 0.3196567149761829 0.5
59 0.4 0.45 0.45142261355868396 1.0
60 0.2 0.15 0.22781507163488784 1.0
61 1.0 0.55 0.6687574328955562 1.0
62 0.0 0.0 0.05680795675856916 0.03125
63 0.8 0.35 0.6852958152958153 1.0
64 0.2 0.05 1.0 1.0
