QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.2 0.15 0.34816176470588234 1.0
2 0.6 0.15 1.0 1.0
3 0.0 0.0 0.030301774930033876 0.03125
4 0.4 0.25 0.32804391736629024 1.0
5 0.2 0.25 0.38077239575700866 1.0
6 0.4 0.1 0.3333333333333333 0.5
7 1.0 0.65 0.6506039405534432 1.0
8 0.2 0.1 0.4801587301587302 1.0
9 0.4 0.3 0.49376052061706077 1.0
10 0.8 0.55 0.6250857021890214 1.0
11 0.6 0.35 0.5154732948211208 1.0
12 0.4 0.15 0.4779411764705882 1.0
13 0.8 0.35 0.747008547008547 1.0
14 0.8 0.75 0.705028802332111 1.0
15 0.4 0.1 0.33430968896122343 1.0
16 0.2 0.25 0.25546098343277146 0.5
17 0.8 0.4 0.6942924687605538 1.0
18 0.4 0.2 0.3452211199928095 1.0
19 0.6 0.3 0.5795590828924162 1.0
20 0.4 0.15 0.7380952380952381 1.0
21 0.6 0.2 0.5284450545260428 1.0
22 0.8 0.7 0.8227446714315958 1.0
23 0.6 0.2 0.65 1.0
24 0.0 0.05 0.078915770609319 0.05555555555555555
25 0.8 0.65 0.5965689184286327 1.0
26 0.4 0.3 0.31743210555526513 1.0
27 0.4 0.25 0.345773644317044 1.0
28 0.8 0.25 0.8909090909090909 1.0
29 0.8 0.55 0.7381282024178806 1.0
30 0.6 0.2 0.740909090909091 1.0
31 0.2 0.05 0.5136986301369864 1.0
32 0.4 0.1 1.0 1.0
33 0.0 0.05 0.125 0.125
36 0.6 0.6 0.6366149669114964 1.0
37 0.6 0.35 0.5687074829931973 0.5
38 1.0 0.55 0.8682522277917016 1.0
39 0.4 0.25 0.3363357558922969 0.5
40 0.6 0.3 0.5180836624412194 1.0
42 0.4 0.45 0.42360110984615784 0.5
43 1.0 0.6 0.6482935822252684 1.0
44 0.8 0.45 0.7245190805541225 1.0
45 0.8 0.35 0.5171852398456855 1.0
48 0.4 0.35 0.4184862578679783 1.0
49 0.2 0.2 0.3646603396603397 1.0
57 0.2 0.05 1.0 1.0
58 0.8 0.5 0.6386942366915277 1.0
59 0.4 0.6 0.5154967591101733 0.3333333333333333
60 1.0 0.75 0.7966666436685227 1.0
61 1.0 0.7 0.7306585979082817 1.0
62 0.6 0.2 0.6631025572485075 1.0
63 1.0 0.4 0.684609745093616 1.0
64 0.2 0.05 1.0 1.0
