QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.0 0.0 0.06565656565656565 0.045454545454545456
2 0.4 0.1 0.7000000000000001 1.0
3 0.0 0.0 0.014492753623188406 0.014492753623188406
4 0.2 0.15 0.1692147654737954 0.2
5 0.0 0.1 0.10715087930277803 0.125
6 0.2 0.1 0.254985754985755 0.5
7 0.2 0.25 0.2509494536991506 0.5
8 0.0 0.05 0.09353741496598639 0.16666666666666666
9 0.4 0.15 0.32870370370370366 0.3333333333333333
10 0.6 0.4 0.4312470385232889 1.0
11 0.8 0.4 0.5060644990114805 1.0
12 0.4 0.1 0.6969696969696969 1.0
13 0.6 0.35 0.5238247877566763 1.0
14 0.2 0.1 0.13127807077104545 0.2
15 0.2 0.15 0.12770037839697282 0.2
16 0.2 0.15 0.22994938015070973 0.5
17 0.0 0.1 0.14342930807323612 0.125
18 0.2 0.1 0.1649486802397635 0.3333333333333333
19 0.8 0.35 0.6510214540361601 1.0
20 0.0 0.1 0.08511176932229564 0.1111111111111111
21 0.2 0.15 0.200515406162465 0.3333333333333333
22 1.0 0.6 0.860212596494306 1.0
23 0.8 0.2 0.95 1.0
24 0.4 0.1 0.3666666666666667 0.3333333333333333
25 0.4 0.45 0.3896051796012729 1.0
26 0.0 0.05 0.09161675265972535 0.058823529411764705
27 0.6 0.4 0.473322334827422 1.0
28 0.8 0.2 0.5766666666666667 0.5
29 0.8 0.35 0.6261512824614728 1.0
30 0.0 0.05 0.04155927835051546 0.0625
31 0.2 0.1 0.5833333333333334 1.0
32 0.2 0.05 0.11538461538461539 0.2
33 0.0 0.05 0.125 0.125
36 0.6 0.35 0.422827474812769 0.5
37 0.2 0.15 0.3183790085234874 1.0
38 0.8 0.4 0.6112538013351347 1.0
39 0.4 0.2 0.3622196382798292 1.0
40 0.0 0.15 0.11832316860144235 0.125
42 0.2 0.2 0.33541753396262364 1.0
43 0.0 0.1 0.11288276183978484 0.1111111111111111
44 0.4 0.15 0.2673881673881674 0.3333333333333333
45 0.2 0.25 0.3576883719040581 1.0
48 0.2 0.1 0.13550353589360706 0.25
49 0.0 0.0 0.019542253521126762 0.014084507042253521
57 0.2 0.05 1.0 1.0
58 0.6 0.4 0.35411154004851814 0.5
59 0.4 0.35 0.2994033333219048 0.5
60 0.6 0.4 0.512687735822788 1.0
61 0.6 0.6 0.584248086683743 0.5
62 0.0 0.0 0.05231078839971115 0.043478260869565216
63 0.6 0.35 0.5255256680256679 1.0
64 0.0 0.05 0.1111111111111111 0.1111111111111111
