QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.6 0.15 0.6712765957446809 1.0
2 0.6 0.15 1.0 1.0
3 0.2 0.05 0.1199248120300752 0.25
4 0.4 0.25 0.4061224904397834 1.0
5 0.4 0.2 0.376287697570309 1.0
6 0.2 0.1 0.4551282051282051 1.0
7 1.0 0.6 0.6415450192366559 1.0
8 0.4 0.15 0.5555555555555556 1.0
9 0.4 0.35 0.42111992945326276 0.5
10 0.8 0.65 0.6810408864245131 1.0
11 0.4 0.35 0.4778098457248255 1.0
12 0.4 0.15 0.5654761904761905 1.0
13 0.6 0.3 0.5031262718762718 1.0
14 0.8 0.65 0.6754303641946662 0.5
15 0.2 0.2 0.2523322194374826 0.5
16 0.2 0.2 0.214779604221196 0.3333333333333333
17 0.4 0.2 0.38179500879360617 1.0
18 0.4 0.25 0.43148268433563797 1.0
19 1.0 0.35 0.7612131272261992 1.0
20 0.6 0.15 0.8666666666666667 1.0
21 0.4 0.15 0.4132002719502719 1.0
22 0.6 0.65 0.6629311040024626 1.0
23 0.6 0.2 0.875 1.0
24 0.4 0.15 0.33630952380952384 0.5
25 0.4 0.35 0.40990286819329524 1.0
26 0.2 0.25 0.28889871802915273 0.3333333333333333
27 0.4 0.45 0.43879764339400795 1.0
28 0.8 0.2 0.7281818181818182 1.0
29 0.6 0.5 0.6980118955118955 1.0
30 0.4 0.1 0.4811494252873563 1.0
31 0.2 0.05 0.5285714285714286 1.0
32 0.4 0.1 1.0 1.0
33 0.0 0.05 0.16666666666666666 0.16666666666666666
36 0.6 0.55 0.5530667947263032 1.0
37 0.4 0.3 0.47275576897425636 1.0
38 0.8 0.55 0.7944067871699451 1.0
39 0.4 0.35 0.37261128716163705 1.0
40 0.6 0.35 0.6050485008818343 1.0
42 0.4 0.35 0.34896669481336656 1.0
43 1.0 0.5 0.6026425267947265 1.0
44 0.6 0.3 0.7787397787397786 1.0
45 0.6 0.3 0.4697589610006615 1.0
48 0.0 0.35 0.34494265191073703 0.16666666666666666
49 0.4 0.1 0.4352730602730602 1.0
57 0.2 0.05 1.0 1.0
58 0.6 0.55 0.5961327715494382 1.0
59 0.4 0.6 0.5436223831150649 1.0
60 0.8 0.6 0.6370548385737252 1.0
61 1.0 0.6 0.7047478749379139 1.0
62 0.4 0.25 0.3925451603566327 0.5
63 0.8 0.45 0.7589923964923965 1.0
64 0.2 0.05 1.0 1.0
