QueryId PrecisionAt5 PrecisionAt20 AveragePrecision ReciprocalRank
1 0.0 0.0 0.07345711759504864 0.04
2 0.6 0.15 0.7555555555555555 1.0
3 0.0 0.0 0.02127659574468085 0.02127659574468085
4 0.2 0.1 0.21034982174688055 0.5
5 0.2 0.15 0.14772727272727273 0.2
6 0.2 0.1 0.17500000000000002 0.2
7 0.4 0.35 0.3489608173303377 1.0
8 0.2 0.05 0.2722222222222222 0.5
9 0.4 0.2 0.3194761859145421 0.5
10 0.4 0.45 0.481593752458174 0.25
11 0.8 0.4 0.44226884837244634 0.5
12 0.4 0.1 0.4170094007050529 1.0
13 0.4 0.25 0.3163711580174696 0.25
14 0.4 0.3 0.3552776522501682 1.0
15 0.2 0.1 0.19735389270272988 0.5
16 0.0 0.15 0.10120938018670966 0.07142857142857142
17 0.0 0.2 0.15300518594847226 0.16666666666666666
18 0.2 0.1 0.13870243275816033 0.2
19 0.6 0.4 0.5585142390289449 1.0
20 0.2 0.1 0.16340326340326342 0.2
21 0.2 0.15 0.2787803103667626 1.0
22 1.0 0.6 0.8217842033844189 1.0
23 0.8 0.2 0.95 1.0
24 0.4 0.1 0.6893939393939394 1.0
25 0.6 0.4 0.4753485979776835 1.0
26 0.0 0.1 0.13724812595275673 0.08333333333333333
27 0.6 0.4 0.4894153053805328 1.0
28 0.8 0.2 0.6791666666666667 0.5
29 0.8 0.5 0.6082499707499708 0.5
30 0.2 0.05 0.1909814323607427 0.5
31 0.2 0.1 0.6 1.0
32 0.2 0.05 0.2675438596491228 0.5
33 0.0 0.05 0.16666666666666666 0.16666666666666666
36 0.4 0.35 0.3972049122276055 1.0
37 0.4 0.15 0.43298331656606304 1.0
38 0.8 0.4 0.5970665576657742 1.0
39 0.4 0.25 0.38495606245606245 1.0
40 0.0 0.15 0.15512491650649546 0.16666666666666666
42 0.4 0.15 0.21968993145808133 0.25
43 0.4 0.2 0.2502440052631502 0.5
44 0.2 0.1 0.4677002583979328 1.0
45 0.4 0.2 0.22429396429396428 0.25
48 0.4 0.15 0.3120309227333549 1.0
49 0.0 0.0 0.044339623851478695 0.029411764705882353
57 0.2 0.05 1.0 1.0
58 0.8 0.35 0.539851839720703 1.0
59 0.4 0.3 0.29340667368153706 0.25
60 0.2 0.35 0.3592109529207286 1.0
61 0.8 0.65 0.6787006913105026 1.0
62 0.0 0.05 0.10698431395239905 0.07692307692307693
63 0.4 0.3 0.3788188554410302 1.0
64 0.0 0.05 0.16666666666666666 0.16666666666666666
